id; age; workClass; education; martialStatus; occupation; race; nativeCountry; salary
4523;0-120;Local-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;Asia;<=50K
9215;0-120;Local-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;Asia;<=50K
2558;0-120;State-gov;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
7320;0-120;State-gov;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
1415;0-120;State-gov;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
9463;0-120;State-gov;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
13982;0-120;Local-gov;*;spouse not present;*;Black;Male;United-States;>50K
15562;0-120;Local-gov;*;spouse not present;*;Black;Male;United-States;>50K
45;51-60;Federal-gov;Higher education;*;*;Black;Male;United-States;>50K
3612;51-60;Federal-gov;Higher education;*;*;Black;Male;United-States;>50K
11886;31-40;Federal-gov;*;Married-civ-spouse;*;Black;Male;*;<=50K
15736;31-40;Federal-gov;*;Married-civ-spouse;*;Black;Male;*;<=50K
215;0-120;Private;*;Never-married;Nontechnical;Black;Male;United-States;>50K
2593;0-120;Private;*;Never-married;Nontechnical;Black;Male;United-States;>50K
1921;0-120;Private;*;Married-civ-spouse;*;Black;Male;North America;>50K
3143;0-120;Private;*;Married-civ-spouse;*;Black;Male;North America;>50K
13840;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Male;*;>50K
16017;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Male;*;>50K
12665;0-120;Federal-gov;*;spouse not present;*;White;Male;North America;>50K
12879;0-120;Federal-gov;*;spouse not present;*;White;Male;North America;>50K
2682;0-120;Local-gov;*;Married-spouse-absent;*;White;Male;*;<=50K
14768;0-120;Local-gov;*;Married-spouse-absent;*;White;Male;*;<=50K
984;0-120;Local-gov;*;spouse not present;*;White;Male;United-States;>50K
1895;0-120;Local-gov;*;spouse not present;*;White;Male;United-States;>50K
3281;0-120;Local-gov;Higher education;Never-married;*;White;Male;North America;>50K
8800;0-120;Local-gov;Higher education;Never-married;*;White;Male;North America;>50K
1387;0-120;Self-emp-not-inc;Some-college;Divorced;*;White;Male;*;>50K
10458;0-120;Self-emp-not-inc;Some-college;Divorced;*;White;Male;*;>50K
2508;31-40;Self-emp-not-inc;*;Never-married;*;White;Male;United-States;>50K
4533;31-40;Self-emp-not-inc;*;Never-married;*;White;Male;United-States;>50K
2159;0-120;Self-emp-not-inc;Primary School;Married-civ-spouse;*;White;Male;*;>50K
10344;0-120;Self-emp-not-inc;Primary School;Married-civ-spouse;*;White;Male;*;>50K
2501;0-120;Self-emp-not-inc;*;Married-spouse-absent;*;White;Male;*;<=50K
5065;0-120;Self-emp-not-inc;*;Married-spouse-absent;*;White;Male;*;<=50K
7078;41-50;Federal-gov;Higher education;*;*;Amer-Indian-Eskimo;Female;United-States;*
14924;41-50;Federal-gov;Higher education;*;*;Amer-Indian-Eskimo;Female;United-States;*
2313;0-120;Local-gov;Professional Education;*;*;Amer-Indian-Eskimo;Female;United-States;<=50K
14810;0-120;Local-gov;Professional Education;*;*;Amer-Indian-Eskimo;Female;United-States;<=50K
2993;0-120;Private;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Female;North America;<=50K
21438;0-120;Private;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Female;North America;<=50K
3821;0-120;Private;Higher education;Married-civ-spouse;*;Amer-Indian-Eskimo;Female;North America;<=50K
8670;0-120;Private;Higher education;Married-civ-spouse;*;Amer-Indian-Eskimo;Female;North America;<=50K
2130;0-120;State-gov;High School;*;Other;Asian-Pac-Islander;Female;*;<=50K
9568;0-120;State-gov;High School;*;Other;Asian-Pac-Islander;Female;*;<=50K
5219;0-120;Self-emp-inc;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;*
6150;0-120;Self-emp-inc;Undergraduate;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;*
11466;0-120;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
21927;0-120;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
2068;31-40;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
3714;31-40;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
916;0-120;Private;*;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
11134;0-120;Private;*;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
3647;0-120;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
19611;0-120;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
304;21-30;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
892;21-30;Private;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;<=50K
4718;0-120;Private;*;spouse not present;*;Other;Female;*;<=50K
12773;0-120;Private;*;spouse not present;*;Other;Female;*;<=50K
6203;41-50;Private;*;Separated;*;Other;Female;*;<=50K
18926;41-50;Private;*;Separated;*;Other;Female;*;<=50K
233;0-120;Private;Undergraduate;Divorced;*;Other;Female;North America;<=50K
14703;0-120;Private;Undergraduate;Divorced;*;Other;Female;North America;<=50K
7275;41-50;State-gov;Higher education;spouse not present;*;White;Female;*;>50K
9013;41-50;State-gov;Higher education;spouse not present;*;White;Female;*;>50K
2100;0-120;State-gov;*;Divorced;*;White;Female;United-States;>50K
2663;0-120;State-gov;*;Divorced;*;White;Female;United-States;>50K
2724;0-120;Local-gov;Higher education;Divorced;Technical;White;Female;*;>50K
17855;0-120;Local-gov;Higher education;Divorced;Technical;White;Female;*;>50K
10635;31-40;Federal-gov;*;Married-civ-spouse;*;White;Female;United-States;<=50K
15050;31-40;Federal-gov;*;Married-civ-spouse;*;White;Female;United-States;<=50K
15199;0-120;Federal-gov;Undergraduate;spouse present;*;White;Female;United-States;>50K
18074;0-120;Federal-gov;Undergraduate;spouse present;*;White;Female;United-States;>50K
197;0-120;Federal-gov;*;Never-married;*;White;Female;United-States;>50K
4805;0-120;Federal-gov;*;Never-married;*;White;Female;United-States;>50K
89;41-50;Federal-gov;*;Never-married;*;White;Female;United-States;>50K
6453;41-50;Federal-gov;*;Never-married;*;White;Female;United-States;>50K
7401;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;White;Female;United-States;<=50K
9805;0-120;Self-emp-inc;Higher education;Married-civ-spouse;*;White;Female;United-States;<=50K
6031;0-120;Self-emp-inc;*;Separated;*;White;Female;North America;<=50K
12423;0-120;Self-emp-inc;*;Separated;*;White;Female;North America;<=50K
1365;0-120;Self-emp-inc;*;Divorced;*;White;Female;United-States;<=50K
3560;0-120;Self-emp-inc;*;Divorced;*;White;Female;United-States;<=50K
7047;0-120;Self-emp-inc;*;Widowed;Nontechnical;White;Female;United-States;>50K
11701;0-120;Self-emp-inc;*;Widowed;Nontechnical;White;Female;United-States;>50K
13126;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;White;Female;*;<=50K
17056;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;White;Female;*;<=50K
102;0-120;Self-emp-not-inc;Masters;Never-married;*;White;Female;*;<=50K
1907;0-120;Self-emp-not-inc;Masters;Never-married;*;White;Female;*;<=50K
3515;0-120;Self-emp-not-inc;Higher education;Divorced;*;White;Female;United-States;>50K
4692;0-120;Self-emp-not-inc;Higher education;Divorced;*;White;Female;United-States;>50K
52;0-120;Private;Prof-school;Married-civ-spouse;*;White;Female;*;>50K
250;0-120;Private;Prof-school;Married-civ-spouse;*;White;Female;*;>50K
5377;0-120;Private;*;Separated;*;White;Female;*;>50K
7991;0-120;Private;*;Separated;*;White;Female;*;>50K
850;61-70;Private;*;Widowed;*;White;Female;*;>50K
12086;61-70;Private;*;Widowed;*;White;Female;*;>50K
13533;41-50;Private;Masters;Married-civ-spouse;*;White;Female;*;<=50K
16333;41-50;Private;Masters;Married-civ-spouse;*;White;Female;*;<=50K
4933;0-120;State-gov;*;Separated;*;Black;Female;United-States;<=50K
6193;0-120;State-gov;*;Separated;*;Black;Female;United-States;<=50K
4678;0-120;State-gov;Higher education;Never-married;*;Black;Female;United-States;<=50K
8133;0-120;State-gov;Higher education;Never-married;*;Black;Female;United-States;<=50K
8699;0-120;Local-gov;Masters;spouse not present;*;Black;Female;United-States;>50K
9588;0-120;Local-gov;Masters;spouse not present;*;Black;Female;United-States;>50K
14731;0-120;Local-gov;*;Married-spouse-absent;*;Black;Female;United-States;<=50K
16028;0-120;Local-gov;*;Married-spouse-absent;*;Black;Female;United-States;<=50K
4860;0-120;Local-gov;*;Separated;*;Black;Female;United-States;<=50K
5605;0-120;Local-gov;*;Separated;*;Black;Female;United-States;<=50K
9595;51-60;Local-gov;*;Divorced;*;Black;Female;North America;<=50K
16314;51-60;Local-gov;*;Divorced;*;Black;Female;North America;<=50K
252;0-120;Local-gov;High School;Widowed;Other;Black;Female;United-States;<=50K
5096;0-120;Local-gov;High School;Widowed;Other;Black;Female;United-States;<=50K
3230;41-50;Private;Bachelors;Married-civ-spouse;*;Black;Female;North America;>50K
5380;41-50;Private;Bachelors;Married-civ-spouse;*;Black;Female;North America;>50K
10404;36-40;Private;*;Separated;*;Black;Female;North America;<=50K
12611;36-40;Private;*;Separated;*;Black;Female;North America;<=50K
485;21-30;Private;Undergraduate;Married-spouse-absent;*;Black;Female;North America;<=50K
2107;21-30;Private;Undergraduate;Married-spouse-absent;*;Black;Female;North America;<=50K
6;0-120;Private;High School;Married-spouse-absent;Other;Black;Female;North America;<=50K
12149;0-120;Private;High School;Married-spouse-absent;Other;Black;Female;North America;<=50K
6601;0-120;Private;HS-grad;Married-spouse-absent;*;Black;Female;North America;<=50K
7279;0-120;Private;HS-grad;Married-spouse-absent;*;Black;Female;North America;<=50K
8649;31-40;Private;HS-grad;Married-spouse-absent;*;Black;Female;North America;<=50K
16031;31-40;Private;HS-grad;Married-spouse-absent;*;Black;Female;North America;<=50K
2730;51-60;Private;*;Married-civ-spouse;*;Black;Female;North America;<=50K
4430;51-60;Private;*;Married-civ-spouse;*;Black;Female;North America;<=50K
6339;0-120;Private;Some-college;Married-civ-spouse;*;Black;Female;North America;<=50K
6923;0-120;Private;Some-college;Married-civ-spouse;*;Black;Female;North America;<=50K
923;31-40;Private;Some-college;Married-civ-spouse;*;Black;Female;North America;<=50K
2288;31-40;Private;Some-college;Married-civ-spouse;*;Black;Female;North America;<=50K
356;0-120;Private;*;spouse not present;*;Other;Male;*;<=50K
9869;0-120;Private;*;spouse not present;*;Other;Male;*;<=50K
2601;0-120;Federal-gov;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Male;United-States;<=50K
18769;0-120;Federal-gov;*;Married-civ-spouse;*;Amer-Indian-Eskimo;Male;United-States;<=50K
2401;0-120;Private;Higher education;Never-married;*;Amer-Indian-Eskimo;Male;North America;<=50K
6504;0-120;Private;Higher education;Never-married;*;Amer-Indian-Eskimo;Male;North America;<=50K
1756;0-120;Self-emp-not-inc;*;spouse not present;*;Asian-Pac-Islander;Male;Asia;<=50K
21441;0-120;Self-emp-not-inc;*;spouse not present;*;Asian-Pac-Islander;Male;Asia;<=50K
8993;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
9735;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
1515;0-120;Private;*;Divorced;*;Asian-Pac-Islander;Male;*;<=50K
1609;0-120;Private;*;Divorced;*;Asian-Pac-Islander;Male;*;<=50K
8898;0-120;Self-emp-inc;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
14041;0-120;Self-emp-inc;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
4768;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;Asia;>50K
11747;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;Asia;>50K
23177;41-50;Local-gov;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
25743;41-50;Local-gov;Higher education;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
3652;41-50;State-gov;*;*;*;Black;Male;United-States;>50K
12381;41-50;State-gov;*;*;*;Black;Male;United-States;>50K
6957;41-50;Federal-gov;Higher education;*;*;Black;Male;United-States;>50K
9113;41-50;Federal-gov;Higher education;*;*;Black;Male;United-States;>50K
6619;0-120;State-gov;*;spouse not present;*;Black;Male;North America;<=50K
11709;0-120;State-gov;*;spouse not present;*;Black;Male;North America;<=50K
5253;21-30;Local-gov;Higher education;Never-married;*;Black;Male;*;<=50K
6605;21-30;Local-gov;Higher education;Never-married;*;Black;Male;*;<=50K
1519;0-120;Government;High School;Never-married;*;Black;Male;North America;<=50K
6647;0-120;Government;High School;Never-married;*;Black;Male;North America;<=50K
7330;0-120;State-gov;*;Married-civ-spouse;*;Black;Male;North America;<=50K
